disease_id	hpo_id	hpo_weight	evidence_source
Orpha_100	HP:0000035	0.173	Orphapacket_HPO_frequency
Orpha_123	HP:0000035	0.545	Orphapacket_HPO_frequency
Orpha_1775	HP:0000035	0.173	Orphapacket_HPO_frequency
Orpha_2556	HP:0000035	0.173	Orphapacket_HPO_frequency
Orpha_3051	HP:0000035	0.545	Orphapacket_HPO_frequency
Orpha_317	HP:0000035	0.173	Orphapacket_HPO_frequency
Orpha_562	HP:0000035	0.545	Orphapacket_HPO_frequency
Orpha_79474	HP:0000035	0.891	Orphapacket_HPO_frequency
Orpha_84	HP:0000035	0.173	Orphapacket_HPO_frequency
Orpha_902	HP:0000035	0.545	Orphapacket_HPO_frequency
Orpha_96147	HP:0000035	0.545	Orphapacket_HPO_frequency
Orpha_100	HP:0000147	0.891	Orphapacket_HPO_frequency
Orpha_110	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_2138	HP:0000147	0.891	Orphapacket_HPO_frequency
Orpha_2176	HP:0000147	0.891	Orphapacket_HPO_frequency
Orpha_2228	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_2229	HP:0000147	0.891	Orphapacket_HPO_frequency
Orpha_2348	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_242	HP:0000147	0.891	Orphapacket_HPO_frequency
Orpha_264580	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_275555	HP:0000147	0.03	Orphapacket_HPO_frequency
Orpha_280356	HP:0000147	0.545	Orphapacket_HPO_frequency
Orpha_280365	HP:0000147	0.545	Orphapacket_HPO_frequency
Orpha_2969	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_371428	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_393	HP:0000147	0.891	Orphapacket_HPO_frequency
Orpha_435651	HP:0000147	0.891	Orphapacket_HPO_frequency
Orpha_435660	HP:0000147	0.891	Orphapacket_HPO_frequency
Orpha_488191	HP:0000147	0.005	Orphapacket_HPO_frequency
Orpha_528	HP:0000147	0.03	Orphapacket_HPO_frequency
Orpha_572333	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_64	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_79083	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_79085	HP:0000147	0.545	Orphapacket_HPO_frequency
Orpha_79240	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_79259	HP:0000147	0.545	Orphapacket_HPO_frequency
Orpha_904	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_90795	HP:0000147	0.173	Orphapacket_HPO_frequency
Orpha_90796	HP:0000147	0.891	Orphapacket_HPO_frequency
Orpha_95699	HP:0000147	0.545	Orphapacket_HPO_frequency
Orpha_100	HP:0000486	0.891	Orphapacket_HPO_frequency
Orpha_101070	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_101111	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_110	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_124	HP:0000486	0.03	Orphapacket_HPO_frequency
Orpha_1297	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1299	HP:0000486	0.891	Orphapacket_HPO_frequency
Orpha_1340	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_1369	HP:0000486	0.891	Orphapacket_HPO_frequency
Orpha_137634	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_137831	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_138	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_1394	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_139485	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1422	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_1427	HP:0000486	0.03	Orphapacket_HPO_frequency
Orpha_1435	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1454	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1458	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1465	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_1473	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1475	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1496	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1507	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1519	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1540	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_1568	HP:0000486	0.891	Orphapacket_HPO_frequency
Orpha_1571	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1596	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_1606	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_163937	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_163956	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_166272	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1667	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_167	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1675	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_17	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_170	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_171680	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_171829	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_175	HP:0000486	0.891	Orphapacket_HPO_frequency
Orpha_1766	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_177901	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_177904	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_177907	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1807	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1897	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1900	HP:0000486	0.03	Orphapacket_HPO_frequency
Orpha_192	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_193	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_1934	HP:0000486	0.03	Orphapacket_HPO_frequency
Orpha_1955	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_199	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_199318	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_2044	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_2053	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_207	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_2072	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_208441	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_2092	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_2108	HP:0000486	0.173	Orphapacket_HPO_frequency
Orpha_2116	HP:0000486	0.545	Orphapacket_HPO_frequency
Orpha_215	HP:0000486	0.545	Orphapacket_HPO_frequency
