factor,factor_iri,factor_label,cfde_disease
ABL signals and CALR mutations,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a4806bae1cfbf7e515c7,ABL signals and CALR mutations (trait context: Myeloproliferative neoplasm),Myeloproliferative neoplasm
Abnormal Adrenal Cortex Morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/00e4c425aec0b4a096f9,Abnormal Adrenal Cortex Morphology (trait context: Chronic primary adrenal insufficiency),Chronic primary adrenal insufficiency
Abnormal alpha-beta T cell activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e317df2f801a7df064ce,Abnormal alpha-beta T cell activation (trait context: autoimmune disease),autoimmune disease
Abnormal bone marrow and adhesion,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4f307fafa2adebefeec7,Abnormal bone marrow and adhesion (trait context: Type 1 diabetes with ophthalmic manifestations),Type 1 diabetes with ophthalmic manifestations
Abnormal Cardiac Conduction and Morphology,https://purl.org/okn/frink/kg/digcfdekg/node/factor/09721e78bf88a4ca8e27,Abnormal Cardiac Conduction and Morphology (trait context: Rare cardiomyopathy),Rare cardiomyopathy
Abnormal CD4 T cell differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/07345303c707d7acf528,Abnormal CD4 T cell differentiation (trait context: multiple sclerosis),multiple sclerosis
Abnormal CD8 T cell differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/29b4ee80f1ed4f0509c5,Abnormal CD8 T cell differentiation (trait context: systemic lupus erythematosus),systemic lupus erythematosus
Abnormal erythropoiesis and anemia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d1dc519de64cdb3e26d8,Abnormal erythropoiesis and anemia (trait context: Acute myeloid leukemia),Acute myeloid leukemia
Abnormal glucose and insulin signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d88d6e168a37dc25f899,Abnormal glucose and insulin signaling (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
Abnormal glucose homeostasis with hyperglycemia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4d65f658d6c7424189b3,Abnormal glucose homeostasis with hyperglycemia (trait context: Type 2 diabetes (additive model)),Type 2 diabetes (additive model)
Abnormal granulocyte and megakaryocyte development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4f7a8d95fe643fae7ccd,Abnormal granulocyte and megakaryocyte development (trait context: Systemic mastocytosis),Systemic mastocytosis
Abnormal hematopoiesis and cell cycle,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3fda73d2629f6f032fc5,Abnormal hematopoiesis and cell cycle (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Abnormal hematopoietic cell morphologies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ef4f351991673cf2b442,Abnormal hematopoietic cell morphologies (trait context: Acute myeloid leukemia),Acute myeloid leukemia
Abnormal hematopoietic differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/137877f07277fd44e8ce,Abnormal hematopoietic differentiation (trait context: Acute myeloid leukemia),Acute myeloid leukemia
Abnormal hematopoietic progenitors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2737996956865041c36d,Abnormal hematopoietic progenitors (trait context: Acute myeloid leukemia),Acute myeloid leukemia
Abnormal immune and hematopoiesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/93bc9ea4968f222cbce8,Abnormal immune and hematopoiesis (trait context: autoimmune disease),autoimmune disease
Abnormal immune cells and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/75eee6826f2e15a9b776,Abnormal immune cells and differentiation (trait context: type 1 diabetes mellitus),type 1 diabetes mellitus
